capture_index,filename,capture_time,image_stamp_sec,image_stamp_nanosec,mode,layer_index,x,y,z,yaw_rad,yaw_deg,tilt_deg
37,waypoint_000037.jpg,2026-07-18T19:01:18.331,110,848000000,layer_scan_L2,1,15.890849113464355,13.489652633666992,-6.007411956787109,-2.8573687324388617,-163.71516888139254,-35.0
38,waypoint_000038.jpg,2026-07-18T19:01:20.031,112,532000000,layer_scan_L2,1,15.344367027282715,15.679268836975098,-5.992794036865234,-2.6528232778934067,-151.99557761735295,-35.0
39,waypoint_000039.jpg,2026-07-18T19:01:21.303,113,788000000,layer_scan_L2,1,14.364750862121582,17.685691833496094,-6.00299072265625,-2.4482778233479516,-140.27598635331336,-35.0
40,waypoint_000040.jpg,2026-07-18T19:01:22.812,115,372000000,layer_scan_L2,1,13.025463104248047,19.501264572143555,-5.992851257324219,-2.2437323688024966,-128.55639508927376,-35.0
41,waypoint_000041.jpg,2026-07-18T19:01:24.325,116,756000000,layer_scan_L2,1,11.34743881225586,20.94701385498047,-6.008209228515625,-2.0391869142570416,-116.83680382523417,-35.0
42,waypoint_000042.jpg,2026-07-18T19:01:25.751,118,176000000,layer_scan_L2,1,9.350082397460938,22.03415298461914,-5.998382568359375,-1.8346414597115868,-105.11721256119459,-35.0
43,waypoint_000043.jpg,2026-07-18T19:01:27.221,119,924000000,layer_scan_L2,1,7.264286994934082,22.737335205078125,-6.00201416015625,-1.6300960051661317,-93.39762129715498,-35.0
44,waypoint_000044.jpg,2026-07-18T19:01:28.808,121,212000000,layer_scan_L2,1,5.025542736053467,22.977283477783203,-5.999408721923828,-1.4255505506206767,-81.67803003311539,-35.0
45,waypoint_000045.jpg,2026-07-18T19:01:30.356,122,696000000,layer_scan_L2,1,2.8171870708465576,22.735794067382812,-5.9983367919921875,-1.2210050960752215,-69.95843876907578,-35.0
46,waypoint_000046.jpg,2026-07-18T19:01:31.985,124,312000000,layer_scan_L2,1,0.6497584581375122,22.077871322631836,-6.002433776855469,-1.0164596415297666,-58.238847505036205,-35.0
